ID,Level,Topic,Prompts,LastUsedDate
T1,1,My name and family,"Tell me about yourself. What's your name? | Do you have brothers or sisters?",
T2,1,My daily routine,"What time do you usually wake up? | What do you do in the morning?",
T3,1,Food and colors,"What's your favorite food? | What's your favorite color?",
T4,2,Shopping,"Do you like shopping? | What did you buy recently?",
T5,2,My weekend,"What did you do last weekend? | Do you have any plans for this weekend?",
T6,2,Weather and hobbies,"What's the weather like today? | What do you like to do in your free time?",
T7,3,Travel,"Have you ever traveled to another city or country? | Where would you like to go on your next trip?",
T8,3,Restaurants and food,"What's your favorite restaurant? | Do you prefer cooking at home or eating out?",
T9,3,Transportation,"How do you usually get to work? | Have you ever missed a bus or a flight?",
T10,4,Meeting new people,"How do you usually introduce yourself to someone new? | What's a good way to start a conversation with a stranger?",
T11,4,Giving directions,"Can you describe how to get from your home to your favorite coffee shop? | Have you ever gotten lost somewhere?",
T12,4,A memorable experience,"Tell me about a trip or event you'll never forget. | What made that experience special?",
T13,5,Work and daily problems,"What's the most challenging part of your job? | How do you usually deal with a stressful day at work?",
T14,5,Technology in daily life,"What app or tool do you use every day? | Do you think technology makes life easier or more complicated?",
T15,5,Health and habits,"What do you do to stay healthy? | Do you have any habits you'd like to change?",
T16,6,A conversation at work,"Tell me about the most interesting thing you worked on recently. | How do you usually communicate with your team?",
T17,6,A work deadline,"Tell me about a time you had a tight deadline. | How did you handle the pressure?",
T18,6,Working with others,"What's it like working with your team? | Have you ever disagreed with a coworker? What happened?",
T19,7,Solving a problem,"Tell me about a problem you solved recently. | What steps did you take to fix it?",
T20,7,Giving suggestions,"If a friend asked for career advice, what would you tell them? | How do you usually give feedback to someone?",
T21,7,Making a decision,"Tell me about a difficult decision you had to make. | What factors did you consider?",
T22,8,Remote work,"Do you think remote work makes people more productive? Why? | What are the pros and cons of working from home?",
T23,8,Technology and AI,"Do you think AI will change the way we work? | Are you excited or worried about new technology?",
T24,8,Career and society,"What do you think makes a job satisfying? | How has your view of career success changed over time?",
T25,9,A memorable experience,"Tell me about an experience that changed how you see things. | What did you learn from it?",
T26,9,Storytelling,"Tell me a story about something unexpected that happened to you. | How did it end?",
T27,9,A hypothetical situation,"What would you do if you won a large amount of money? | How would your life change?",
T28,10,An abstract topic,"What does success mean to you? | Has your definition of success changed over the years?",
T29,10,A nuanced opinion,"Is it better to be a specialist or a generalist? Why? | Can you see both sides of that argument?",
T30,10,Humor and idioms,"What's the funniest thing that's happened to you recently? | Do you know any English idioms you find interesting?",
